Día,Edad,Físico (F),Técnico (T),Mental (M),Rating (R)
374.0,19.02465753424628,1.0,1.0,1.0,96.02252281597752
375.0,19.027397260273677,1.0,1.0,1.0,96.06308064441265
376.0,19.030136986301073,1.0,1.0,1.0,96.10362985895297
377.0,19.03287671232847,1.0,1.0,1.0,96.14438014384672
378.0,19.035616438355866,1.0,1.0,1.0,96.18544473489506
379.0,19.038356164383263,1.0,1.0,1.0,96.2259414143623
380.0,19.04109589041066,1.0,1.0,1.0,96.2668098146372
381.0,19.043835616438056,1.0,1.0,1.0,96.30751667181147
382.0,19.046575342465452,1.0,1.0,1.0,96.34804094784663
383.0,19.04931506849285,1.0,1.0,1.0,96.38927065335773
384.0,19.052054794520245,1.0,1.0,1.0,96.42940331317932
385.0,19.05479452054764,1.0,1.0,1.0,96.46970387637512
386.0,19.057534246575038,1.0,1.0,1.0,96.50966379911476
387.0,19.060273972602435,1.0,1.0,1.0,96.5491524860276
388.0,19.06301369862983,1.0,1.0,1.0,96.58984741314518
389.0,19.065753424657228,1.0,1.0,1.0,96.63147399779601
390.0,19.068493150684624,1.0,1.0,1.0,96.67235978579728
391.0,19.07123287671202,1.0,1.0,1.0,96.71252103977115
392.0,19.073972602739417,1.0,1.0,1.0,96.7528564031889
393.0,19.076712328766813,1.0,1.0,1.0,96.79300879610803
394.0,19.07945205479421,1.0,1.0,1.0,96.83362294899536
395.0,19.082191780821606,1.0,1.0,1.0,96.874303858595
396.0,19.084931506849003,1.0,1.0,1.0,96.91390740321576
397.0,19.0876712328764,1.0,1.0,1.0,96.95387661489652
398.0,19.090410958903796,1.0,1.0,1.0,96.99564493093678
399.0,19.093150684931192,1.0,1.0,1.0,97.0362400579749
400.0,19.09589041095859,1.0,1.0,1.0,97.07595269406126
401.0,19.098630136985985,1.0,1.0,1.0,97.11543588146867
402.0,19.10136986301338,1.0,1.0,1.0,97.15589764837763
403.0,19.104109589040778,1.0,1.0,1.0,97.19781981455205
404.0,19.106849315068175,1.0,1.0,1.0,97.23870947786493
405.0,19.10958904109557,1.0,1.0,1.0,97.27826857992784
406.0,19.112328767122968,1.0,1.0,1.0,97.3195683520196
407.0,19.115068493150364,1.0,1.0,1.0,97.35977325217286
408.0,19.11780821917776,1.0,1.0,1.0,97.39917730576552
409.0,19.120547945205157,1.0,1.0,1.0,97.44004261594999
410.0,19.123287671232553,1.0,1.0,1.0,97.4795776343863
411.0,19.12602739725995,1.0,1.0,1.0,97.52066089750757
412.0,19.128767123287346,1.0,1.0,1.0,97.56128376172775
413.0,19.131506849314743,1.0,1.0,1.0,97.60217805400039
414.0,19.13424657534214,1.0,1.0,1.0,97.64390096929922
415.0,19.136986301369536,1.0,1.0,1.0,97.68553907512951
416.0,19.139726027396932,1.0,1.0,1.0,97.72619699155348
417.0,19.14246575342433,1.0,1.0,1.0,97.76625811897033
418.0,19.145205479451725,1.0,1.0,1.0,97.80725567364485
419.0,19.14794520547912,1.0,1.0,1.0,97.8481123281745
420.0,19.150684931506518,1.0,1.0,1.0,97.88793922651342
421.0,19.153424657533915,1.0,1.0,1.0,97.95128478799415
422.0,19.15616438356131,1.0,1.0,1.0,98.01870590927292
423.0,19.158904109588708,1.0,1.0,1.0,98.08654132752685
424.0,19.161643835616104,1.0,1.0,1.0,98.15529999604729
